tipo,descripcion
522451,Montepíos
523110,Casas de bolsa
524110,Compañías de seguros
525210,Fondos de inversión
524220,Administración de cajas de pensión y de seguros independientes
522460,Sociedades financieras de objeto múltiple
523122,Centros cambiarios
524120,Fondos de aseguramiento campesino
522452,Casas de empeño
524130,Compañías afianzadoras
522110,Banca múltiple
522390,Otras instituciones de ahorro y préstamo
523210,Bolsa de valores
523121,Casas de cambio
523910,Asesoría en inversiones
522310,Uniones de crédito
522440,Compañías de autofinanciamiento
521110,Banca central
522210,Banca de desarrollo
522220,Fondos y fideicomisos financieros
524210,"Agentes, ajustadores y gestores de seguros y fianzas"
523990,Otros servicios relacionados con la intermediación bursátil
522510,Servicios relacionados con la intermediación crediticia no bursátil
522490,Otras instituciones de intermediación crediticia y financiera no bursátil
522320,Cajas de ahorro popular
236111,Edificacin de vivienda unifamiliar
236112,Edificacin de vivienda multifamiliar
236113,Supervisin de edificacin residencial
236211,"Edificacin de naves y plantas industriales, excepto la supervisin"
236212,Supervisin de edificacin de naves y plantas industriales
236221,"Edificacin de inmuebles comerciales y de servicios, excepto la supervisin"
236222,Supervisin de edificacin de inmuebles comerciales y de servicios
237111,"Construccin de obras para el tratamiento, distribucin y suministro de agua y drenaje"
237112,Construccin de sistemas de riego agrcola
237113,"Supervisin de construccin de obras para el tratamiento, dist. y trat. agua y drenaje"
237121,Construccin de sistemas de distribucin de petrleo y gas
237122,Construccin de plantas de refinera y petroqumica
237123,Supervisin de construccin de obras para petrleo y gas
237131,Construccin de obras de generacin y conduccin de energa elctrica
237132,Construccin de obras para telecomunicaciones
237211,Divisin de terrenos
237212,Construccin de obras de urbanizacin
237213,Supervisin de divisin de terrenos y de construccin de obras de urbanizacin
237311,Instalacin de sealamientos y protecciones en obras viales
237312,"Construccin de carreteras, puentes y similares"
237313,Supervisin de construccin de vas de comunicacin
237991,Construccin de presas y represas
237992,"Construccin de obras martimas, fluviales y subacuticas"
237993,Construccin de obras para transporte elctrico y ferroviario
237994,Supervisin de construccin de otras obras de ingeniera civil
237999,Otras construcciones de ingeniera civil
238110,Trabajos de cimentaciones
238121,Montaje de estructuras de concreto prefabricadas
238122,Montaje de estructuras de acero prefabricadas
238130,Trabajos de albailera
238190,Otros trabajos en exteriores
238210,Instalaciones elctricas en construcciones
238221,Instalaciones hidrosanitarias y de gas
238222,Instalaciones de sistemas centrales de aire acondicionado y calefaccin
238290,Otras instalaciones y equipamiento en construcciones
238311,Colocacin de muros falsos y aislamiento
238312,"Trabajos de enyesado, empastado y tiroleado"
238320,Trabajos de pintura y otros cubrimientos de paredes
238330,Colocacin de pisos flexibles y de madera
238340,Colocacin de pisos cermicos y azulejos
238350,Realizacin de trabajos de carpintera en el lugar de la construccin
238390,Otros trabajos de acabados en edificaciones
238910,Preparacin de terrenos para la construccin
238990,Otros trabajos especializados para la construccin
551111,Corporativos
551112,Tenedoras de acciones
